"timestamp","P1","P2"
"2019-05-01",3.92583817653469,2.60171630948057
"2019-05-02",9.91828232722381,6.68342357491172
"2019-05-03",11.5801514777311,7.08521198649872
"2019-05-04",8.57579404060249,4.60800425671251
"2019-05-05",15.1549089716254,7.18366163687059
"2019-05-06",9.98659112825458,6.12925827708132
"2019-05-07",11.581464385197,8.23761957819339
"2019-05-08",14.6685418904404,8.87849087003222
"2019-05-09",20.8550987960665,13.5039784946237
"2019-05-10",14.4261457475053,8.52889224572004
"2019-05-11",8.92817057530231,5.02619182850861
"2019-05-12",6.74078521515263,3.96723703567488
"2019-05-13",9.78960545125322,7.32442008958353
"2019-05-14",16.356773723956,11.5008206714585
"2019-05-15",11.7347909024211,7.59617663242847
"2019-05-16",11.7764380222841,8.15009052924791
"2019-05-17",15.6289554839272,10.3499808345675
"2019-05-18",19.2444026911716,11.2784337052839
"2019-05-19",11.0141430688179,6.55257408626934
"2019-05-20",11.0236229712859,5.79925509779442
"2019-05-21",7.53672213862087,4.18750110648845
"2019-05-22",6.09022618936349,3.4783905037854
"2019-05-23",6.23945200192957,4.10907863000482
"2019-05-24",10.1877268358324,8.09824106113033
"2019-05-25",6.89887630908576,5.34261156712897
"2019-05-26",8.79837641431331,6.20543924202005
"2019-05-27",13.3380411710887,8.9111912168344
"2019-05-28",13.8744083202237,8.89001747946163
"2019-05-29",7.05411210011457,3.87513439675685
"2019-05-30",4.96175375158199,2.76340354366299
"2019-05-31",15.7684677996422,11.4994239713775
